sepal_length,sepal_width,petal_length,petal_width,species_pred,probability
5.5,2.5,4.0,1.3,versicolor,0.8823844760591283
6.9,3.1,5.1,2.3,virginica,0.9325196118982193
5.1,2.5,3.0,1.1,versicolor,0.8914572741125599
4.4,2.9,,0.2,setosa,0.7431773674145594
5.9,3.0,5.1,1.8,virginica,0.6617962516793799
5.5,3.5,1.3,0.2,setosa,0.9634425258217699
5.6,,3.6,1.3,versicolor,0.8112658897542884
6.5,3.0,5.2,2.0,virginica,0.8437223039991447
5.3,3.7,1.5,0.2,setosa,0.9851750300426265
5.1,3.4,1.5,,setosa,0.887613167887959
6.1,2.8,4.0,1.3,versicolor,0.8971834617704513
5.5,2.4,3.7,1.0,versicolor,0.9479150225834866
7.7,3.0,6.1,2.3,virginica,0.9865938025394931
6.9,3.1,4.9,1.5,versicolor,0.6451381348949371
6.0,2.2,5.0,1.5,virginica,0.5952578596956998
